14-02-16_12:17:32,el X,el Y,el Z,o X,o Y,o Z,net X,net Y,net Z,30.0
14-02-16_12:17:35,-1.6723499,3.8630445,6.92044,0.2434968,-0.17244554,0.035955336,14.474063,10.05006,13.687785,130.0
14-02-16_12:17:35,7.5968018,-5.519832,12.963405,0.2434968,-0.17244554,0.035955336,14.474063,10.05006,13.687785,130.0
14-02-16_12:17:35,7.5968018,-5.519832,12.963405,0.2434968,-0.17244554,0.035955336,14.474063,10.05006,13.687785,210.0
14-02-16_12:17:35,7.5968018,-5.519832,12.963405,0.2434968,-0.17244554,0.035955336,12.432502,7.8987255,12.914482,210.0
14-02-16_12:17:35,7.5968018,-5.519832,12.963405,0.2434968,-0.17244554,0.035955336,12.432502,7.8987255,12.914482,336.0
14-02-16_12:17:35,7.5968018,-5.519832,12.963405,-0.09208785,1.3051449,-0.9717446,12.432502,7.8987255,12.914482,336.0
14-02-16_12:17:35,0.65242,-1.2150574,9.228451,-0.09208785,1.3051449,-0.9717446,12.432502,7.8987255,12.914482,336.0
14-02-16_12:17:35,0.65242,-1.2150574,9.228451,-0.09208785,1.3051449,-0.9717446,12.432502,7.8987255,12.914482,510.0
14-02-16_12:17:35,0.65242,-1.2150574,9.228451,-0.09208785,1.3051449,-0.9717446,11.297474,5.2169085,12.18253,510.0
14-02-16_12:17:35,0.65242,-1.2150574,9.228451,-0.09208785,1.3051449,-0.9717446,11.297474,5.2169085,12.18253,648.0
14-02-16_12:17:35,0.65242,-1.2150574,9.228451,-0.11871946,-0.30340436,-1.4628315,11.297474,5.2169085,12.18253,648.0
14-02-16_12:17:35,-2.6408045,5.8634,9.471462,-0.11871946,-0.30340436,-1.4628315,11.297474,5.2169085,12.18253,648.0
14-02-16_12:17:35,-2.6408045,5.8634,9.471462,-0.11871946,-0.30340436,-1.4628315,11.297474,5.2169085,12.18253,682.0
14-02-16_12:17:35,-2.6408045,5.8634,9.471462,-0.11871946,-0.30340436,-1.4628315,9.962317,1.1465693,10.980143,682.0
14-02-16_12:17:35,-2.6408045,5.8634,9.471462,-0.11871946,-0.30340436,-1.4628315,9.962317,1.1465693,10.980143,692.0
14-02-16_12:17:35,-2.6408045,5.8634,9.471462,1.0743767,-0.5036741,-0.18877524,9.962317,1.1465693,10.980143,692.0
14-02-16_12:17:35,-0.11492168,-2.859874,9.313444,1.0743767,-0.5036741,-0.18877524,9.962317,1.1465693,10.980143,692.0
14-02-16_12:17:35,-0.11492168,-2.859874,9.313444,1.0743767,-0.5036741,-0.18877524,9.962317,1.1465693,10.980143,700.0
14-02-16_12:17:35,-0.11492168,-2.859874,9.313444,1.0743767,-0.5036741,-0.18877524,7.1463227,-3.160554,9.329226,700.0
14-02-16_12:17:35,-0.11492168,-2.859874,9.313444,1.0743767,-0.5036741,-0.18877524,7.1463227,-3.160554,9.329226,588.0
14-02-16_12:17:35,-0.11492168,-2.859874,9.313444,-4.990764E-4,0.59893745,-1.245481,7.1463227,-3.160554,9.329226,588.0
14-02-16_12:17:35,1.6867151,-1.1719618,6.9407907,-4.990764E-4,0.59893745,-1.245481,7.1463227,-3.160554,9.329226,588.0
14-02-16_12:17:35,1.6867151,-1.1719618,6.9407907,-4.990764E-4,0.59893745,-1.245481,7.1463227,-3.160554,9.329226,412.0
14-02-16_12:17:35,1.6867151,-1.1719618,6.9407907,-4.990764E-4,0.59893745,-1.245481,6.6548924,-5.2517657,7.9063783,412.0
14-02-16_12:17:35,1.6867151,-1.1719618,6.9407907,-4.990764E-4,0.59893745,-1.245481,6.6548924,-5.2517657,7.9063783,336.0
14-02-16_12:17:36,1.6867151,-1.1719618,6.9407907,-0.44684488,-0.63996506,-1.1389546,6.6548924,-5.2517657,7.9063783,336.0
14-02-16_12:17:36,-8.813056,2.8921957,15.312117,-0.44684488,-0.63996506,-1.1389546,6.6548924,-5.2517657,7.9063783,336.0
14-02-16_12:17:36,-8.813056,2.8921957,15.312117,-0.44684488,-0.63996506,-1.1389546,6.6548924,-5.2517657,7.9063783,240.0
14-02-16_12:17:36,-8.813056,2.8921957,15.312117,-0.44684488,-0.63996506,-1.1389546,10.2906685,-6.192365,6.742157,240.0
14-02-16_12:17:36,-8.813056,2.8921957,15.312117,-0.44684488,-0.63996506,-1.1389546,10.2906685,-6.192365,6.742157,118.0
14-02-16_12:17:36,-8.813056,2.8921957,15.312117,1.2916666,0.5009331,0.37052506,10.2906685,-6.192365,6.742157,118.0
14-02-16_12:17:36,0.36032736,0.23942018,10.150218,1.2916666,0.5009331,0.37052506,10.2906685,-6.192365,6.742157,118.0
14-02-16_12:17:36,0.36032736,0.23942018,10.150218,1.2916666,0.5009331,0.37052506,10.2906685,-6.192365,6.742157,66.0
14-02-16_12:17:36,0.36032736,0.23942018,10.150218,1.2916666,0.5009331,0.37052506,14.781933,-8.442699,6.204101,66.0
14-02-16_12:17:36,0.36032736,0.23942018,10.150218,1.2916666,0.5009331,0.37052506,14.781933,-8.442699,6.204101,54.0
14-02-16_12:17:36,0.36032736,0.23942018,10.150218,0.19336466,-0.62714434,-0.24091488,14.781933,-8.442699,6.204101,54.0
14-02-16_12:17:36,2.492364,-0.8535329,3.903746,0.19336466,-0.62714434,-0.24091488,14.781933,-8.442699,6.204101,54.0
14-02-16_12:17:36,2.492364,-0.8535329,3.903746,0.19336466,-0.62714434,-0.24091488,14.781933,-8.442699,6.204101,58.0
14-02-16_12:17:36,2.492364,-0.8535329,3.903746,0.19336466,-0.62714434,-0.24091488,17.85243,-12.316447,7.102588,58.0
14-02-16_12:17:36,2.492364,-0.8535329,3.903746,0.19336466,-0.62714434,-0.24091488,17.85243,-12.316447,7.102588,72.0
14-02-16_12:17:36,2.492364,-0.8535329,3.903746,-0.99014413,-1.6870824,-1.5447985,17.85243,-12.316447,7.102588,72.0
14-02-16_12:17:36,-8.583213,5.055357,12.764687,-0.99014413,-1.6870824,-1.5447985,17.85243,-12.316447,7.102588,72.0
14-02-16_12:17:36,-8.583213,5.055357,12.764687,-0.99014413,-1.6870824,-1.5447985,17.85243,-12.316447,7.102588,110.0
14-02-16_12:17:36,-8.583213,5.055357,12.764687,-0.99014413,-1.6870824,-1.5447985,18.655056,-16.446112,9.408305,110.0
14-02-16_12:17:36,-8.583213,5.055357,12.764687,-0.99014413,-1.6870824,-1.5447985,18.655056,-16.446112,9.408305,144.0
14-02-16_12:17:36,-8.583213,5.055357,12.764687,0.7121484,0.856769,1.2866743,18.655056,-16.446112,9.408305,144.0
14-02-16_12:17:36,2.943671,-2.2337902,8.1079645,0.7121484,0.856769,1.2866743,18.655056,-16.446112,9.408305,144.0
14-02-16_12:17:36,2.943671,-2.2337902,8.1079645,0.7121484,0.856769,1.2866743,18.655056,-16.446112,9.408305,160.0
14-02-16_12:17:36,2.943671,-2.2337902,8.1079645,0.7121484,0.856769,1.2866743,16.929012,-19.600065,12.507012,160.0
14-02-16_12:17:36,2.943671,-2.2337902,8.1079645,0.7121484,0.856769,1.2866743,16.929012,-19.600065,12.507012,164.0
14-02-16_12:17:37,2.943671,-2.2337902,8.1079645,0.5736545,1.2200493,0.38547525,16.929012,-19.600065,12.507012,164.0
14-02-16_12:17:37,0.20829555,-0.30166942,7.004237,0.5736545,1.2200493,0.38547525,16.929012,-19.600065,12.507012,164.0
