14-02-16_12:16:10,el X,el Y,el Z,o X,o Y,o Z,net X,net Y,net Z,20.0
14-02-16_12:16:15,-0.8451532,1.0319009,11.172543,0.38858315,0.06349109,-0.81657714,26.202291,6.08149,11.287059,68.0
14-02-16_12:16:15,-1.0845734,1.6927006,9.064447,0.38858315,0.06349109,-0.81657714,26.202291,6.08149,11.287059,68.0
14-02-16_12:16:15,-1.0845734,1.6927006,9.064447,0.38858315,0.06349109,-0.81657714,26.202291,6.08149,11.287059,74.0
14-02-16_12:16:15,-1.0845734,1.6927006,9.064447,0.38858315,0.06349109,-0.81657714,25.942572,6.389566,11.434594,74.0
14-02-16_12:16:15,-1.0845734,1.6927006,9.064447,-0.33793917,-0.05046078,0.01754304,25.942572,6.389566,11.434594,74.0
14-02-16_12:16:15,-2.2768857,0.36391866,13.210008,-0.33793917,-0.05046078,0.01754304,25.942572,6.389566,11.434594,74.0
14-02-16_12:16:15,-2.2768857,0.36391866,13.210008,-0.33793917,-0.05046078,0.01754304,25.942572,6.389566,11.434594,72.0
14-02-16_12:16:15,-2.2768857,0.36391866,13.210008,-0.33793917,-0.05046078,0.01754304,25.268734,6.599723,11.526113,72.0
14-02-16_12:16:15,-2.2768857,0.36391866,13.210008,-0.33793917,-0.05046078,0.01754304,25.268734,6.599723,11.526113,74.0
14-02-16_12:16:15,-2.2768857,0.36391866,13.210008,0.005075985,-0.031286016,0.29344654,25.268734,6.599723,11.526113,74.0
14-02-16_12:16:15,-1.6950948,0.5506664,8.791509,0.005075985,-0.031286016,0.29344654,25.268734,6.599723,11.526113,74.0
14-02-16_12:16:16,-1.6950948,0.5506664,8.791509,0.005075985,-0.031286016,0.29344654,24.208845,6.853477,11.5480175,74.0
14-02-16_12:16:16,-1.6950948,0.5506664,8.791509,0.12971193,-0.14313878,0.3989077,24.208845,6.853477,11.5480175,74.0
14-02-16_12:16:16,-0.60333884,2.1404164,9.667787,0.12971193,-0.14313878,0.3989077,24.208845,6.853477,11.5480175,74.0
14-02-16_12:16:16,-0.60333884,2.1404164,9.667787,0.12971193,-0.14313878,0.3989077,24.208845,6.853477,11.5480175,68.0
14-02-16_12:16:16,-0.60333884,2.1404164,9.667787,0.12971193,-0.14313878,0.3989077,22.836235,7.622175,11.573579,68.0
14-02-16_12:16:16,-0.60333884,2.1404164,9.667787,0.12971193,-0.14313878,0.3989077,22.836235,7.622175,11.573579,66.0
14-02-16_12:16:16,-0.60333884,2.1404164,9.667787,-0.113180354,0.034791537,-0.22425361,22.836235,7.622175,11.573579,66.0
14-02-16_12:16:16,-0.78529817,-0.108936176,13.0280485,-0.113180354,0.034791537,-0.22425361,22.836235,7.622175,11.573579,66.0
14-02-16_12:16:16,-0.78529817,-0.108936176,13.0280485,-0.113180354,0.034791537,-0.22425361,22.836235,7.622175,11.573579,58.0
14-02-16_12:16:16,-0.78529817,-0.108936176,13.0280485,-0.113180354,0.034791537,-0.22425361,21.34681,8.822796,11.496851,58.0
14-02-16_12:16:16,-0.78529817,-0.108936176,13.0280485,-0.113180354,0.034791537,-0.22425361,21.34681,8.822796,11.496851,54.0
14-02-16_12:16:16,-0.78529817,-0.108936176,13.0280485,0.3438181,-0.020602213,-0.42771912,21.34681,8.822796,11.496851,54.0
14-02-16_12:16:16,-0.93493575,1.3084313,8.183381,0.3438181,-0.020602213,-0.42771912,21.34681,8.822796,11.496851,54.0
14-02-16_12:16:16,-0.93493575,1.3084313,8.183381,0.3438181,-0.020602213,-0.42771912,21.34681,8.822796,11.496851,48.0
14-02-16_12:16:16,-0.93493575,1.3084313,8.183381,0.3438181,-0.020602213,-0.42771912,19.750029,10.041514,11.254495,48.0
14-02-16_12:16:16,-0.93493575,1.3084313,8.183381,0.044478785,-0.11434548,-0.006939665,19.750029,10.041514,11.254495,48.0
14-02-16_12:16:16,-1.2378023,1.8423382,10.449493,0.044478785,-0.11434548,-0.006939665,19.750029,10.041514,11.254495,48.0
14-02-16_12:16:16,-1.2378023,1.8423382,10.449493,0.044478785,-0.11434548,-0.006939665,17.857225,10.714199,10.857296,48.0
14-02-16_12:16:16,-1.2378023,1.8423382,10.449493,0.044478785,-0.11434548,-0.006939665,17.857225,10.714199,10.857296,44.0
14-02-16_12:16:16,-1.2378023,1.8423382,10.449493,-0.4860157,6.844324E-4,0.1943844,17.857225,10.714199,10.857296,44.0
14-02-16_12:16:16,-1.6328455,0.5506664,11.942278,-0.4860157,6.844324E-4,0.1943844,17.857225,10.714199,10.857296,44.0
14-02-16_12:16:16,-1.6328455,0.5506664,11.942278,-0.4860157,6.844324E-4,0.1943844,17.857225,10.714199,10.857296,56.0
14-02-16_12:16:17,-1.6328455,0.5506664,11.942278,-0.4860157,6.844324E-4,0.1943844,15.694622,10.638282,10.382296,56.0
14-02-16_12:16:17,-1.6328455,0.5506664,11.942278,-0.4860157,6.844324E-4,0.1943844,15.694622,10.638282,10.382296,64.0
14-02-16_12:16:17,-1.6328455,0.5506664,11.942278,0.14888188,-0.06003564,0.20503704,15.694622,10.638282,10.382296,64.0
14-02-16_12:16:17,-1.1923125,1.5442601,8.093599,0.14888188,-0.06003564,0.20503704,15.694622,10.638282,10.382296,64.0
14-02-16_12:16:17,-1.1923125,1.5442601,8.093599,0.14888188,-0.06003564,0.20503704,15.694622,10.638282,10.382296,74.0
14-02-16_12:16:17,-1.1923125,1.5442601,8.093599,0.14888188,-0.06003564,0.20503704,13.616831,10.294098,9.980667,74.0
14-02-16_12:16:17,-1.1923125,1.5442601,8.093599,0.14888188,-0.06003564,0.20503704,13.616831,10.294098,9.980667,78.0
14-02-16_12:16:17,-1.1923125,1.5442601,8.093599,-0.20372063,-0.100515686,0.3946541,13.616831,10.294098,9.980667,78.0
